Level 1,Level 1 Description,Level 2 (MH),Level 2 Description
Order Status & Delivery,"Select this intent when customers inquire about the status or progress of their order, whether it’s related to pickup or delivery, including both inquiries made within 15 minutes of placing the order and those made after 15 minutes. This includes situations where customers ask for updates on rider allocation, report delays in delivery time, or face issues with tracking their order. Additionally, select this intent when customers report problems such as slow rider assignment, delivery delays, wrong addresses or recipients, failed deliveries, or if they are outside the delivery range and unable to place an order. Exclude cases related to barista issues, service quality, or when customers are unreachable, as these have separate classifications.",Pickup Info / Status,Select this when customers inquire about the status of their order. This includes both situations where the inquiry is made within 15 minutes of placing the order and when it is made after 15 minutes.
,,Delivery Info / Status,"Select this intent when customers inquire about the status of their order, particularly if they are simply asking for updates or clarifications on the order’s preparation or delivery progress. Use this intent for situations where the customer is not reporting any barista-related issues or service quality problems but is instead focused on the status of the delivery or order completion. This includes both situations where the inquiry is made within 15 minutes of placing the order and when it is made after 15 minutes."
,,Slow Rider Allocation,"Select this when customers report that a rider was not scheduled or assigned to the order in a timely manner, leading to delays in the order delivery. This includes situations where there is a prolonged period without a rider being allocated to the order, causing a delay in pickup or delivery. The focus here is on the timing and scheduling of rider assignments rather than the rider’s behavior or conduct."
,,Slow Delivery Service,"Select this when customers report that their orders were not delivered within the expected 45-minute timeframe. This intent is used specifically for cases where the primary issue is the speed of delivery, rather than technical system problems. Descriptions for this intent will focus on delays caused by external factors, such as rider speed or traffic, and are not related to system glitches or order synchronization issues. The key distinguishing factor is that the delay is purely a logistical issue without mention of any technical or system-related problems."
,,Failed Delivery,"Select this when the customer did not receive their order, but the rider marked or claimed it was delivered. This includes cases where the rider delivered to the wrong recipient (wrong person or address), failed to follow delivery instructions (such as not calling the customer on arrival or leaving it at the wrong location), or picked up the order but did not deliver it.  The key distinction is that the order is marked as delivered, despite the customer never receiving it. This category excludes instances where the order was returned to the store due to the customer being unreachable,which should be categorized under ""Customer Unreachable / Unavailable."" The issue here lies primarily with the delivery execution, not with the restaurant’s system."
,,Customer Unreachable / Unavailable,"Select this when the customer did not receive their order because the rider was unable to contact them, leading to the order being returned to the outlet or store. This typically occurs when the rider attempts to call or message the customer but receives no response, resulting in a failed delivery attempt. The defining feature of this category is that the order was not marked as delivered but was instead returned to the store, indicating that the delivery could not be completed due to the customer being unreachable. This includes cases where the rider attempted delivery but was unable to locate the customer due to incomplete or unclear instructions. This category excludes cases where the rider marked the order as delivered or claimed it was completed."
,,Tracking Error,Select this when customers report that they are unable to view the rider tracking link or details in the ZUS app. This includes issues where the tracking feature does not work from the customer's end or the delivery information is missing.
,,Delivery Range,"Select this when customers are unable to place an order because their location is outside the delivery range or the app incorrectly handles their address. This includes situations where the customer's address is within the allowable range but the app still prevents ordering, issues with pinning the correct location, or incorrect location pinning by the app."
,,Wrong Address / Recipient,"Select this when the customer received an order, but it was the wrong one, or the delivery was made to the wrong person or address. This includes cases where the customer received someone else’s order or the order was delivered to the wrong location due to a delivery error. The defining feature here is that the customer received an incorrect order, and the issue is related to misdelivery, not non-receipt. If the customer did not receive any order at all, the issue should be categorized as ""Failed Delivery."""
Order Accuracy Issues,"Select this intent when there are any issues related to order inaccuracies or fulfillment problems involving drinks, food, or delivery. This includes receiving incorrect drinks or food items due to preparation, labeling, or packing mistakes, such as wrong or missing drinks or food, or situations where entire orders are incorrect or incomplete. It also covers missing key ingredients in drinks, missing main food items, or overlooked customization requests like ice levels, sweetness, milk type, or add-ons (e.g., velvet cream, boba). Additionally, use this intent when non-drink or drink-related special instructions, such as requests for napkins, straws, or temperature preferences (e.g., hot vs. iced drinks), are not followed. It applies to out-of-stock situations resulting in cancellations or refunds, inappropriate rider behavior (e.g., rudeness or failure to deliver properly), mistakes in fulfillment method (pickup vs. delivery), receiving extra items by mistake, or the absence of essential accessories like straws or cutlery. The resolution typically involves refunds, redelivery, or adjustments to the order, with out-of-stock issues taking priority over other concerns.",Wrong Drink,"Select this intent when the customer reports receiving a specific incorrect drink or a drink that is missing key ingredients. This intent is focused solely on drink-related mistakes, where the issue is limited to the drink itself. It excludes cases involving customization errors like milk type, sweetness level, ice amount, temperature, or additional add-ons (such as velvet cream, boba, or drizzle). The customer’s complaint should be about receiving the wrong drink entirely or a drink that is missing its key components. The resolution typically involves resending the correct drink or offering compensation specific to that drink."
